video_id,category,title,publishedAt,viewCount,likeCount,commentCount,duration
m5K2O-o0jGQ,recommendation,TOP ALTERNATIVES TO POPULAR WOMEN'S PERFUMES That Will Blow Your Mind (not dupes),2023-08-22T11:00:40Z,12392,503,26,PT16M17S
4PyZ_Dx6sMo,recommendation,12 STRONG PERFUMES FOR WOMEN that are still super wearable | top fragrances for women,2023-08-17T13:47:51Z,19082,968,25,PT15M39S
RBVQAyhuwbE,recommendation,11 PERFUMES for women you can wear ALL YEAR ROUND | Top Fragrances For Women,2023-08-13T11:30:18Z,32729,736,177,PT17M48S
pmVfbXhalx4,recommendation,10 Effortlessly Attractive Smelling Perfumes For Women,2023-08-10T10:40:25Z,23657,785,49,PT17M47S
PoSOY_Hvs2o,fashion,"NEW IN FASHION HAUL | Blumarine, Reformation | Monika Cioch",2023-08-07T15:22:50Z,2457,93,10,PT8M7S
YzCgmCMfFcQ,recommendation,I test fragrances for living and this is my ALL TIME TOP 20 PERFUMES FOR WOMEN,2023-08-05T11:30:56Z,105576,2640,109,PT20M55S
pkl1jKyBFoY,recommendation,MY 5 FAVOURITE PERFUMES | I’ve tested tons of perfumes this month but these were the best,2023-08-01T12:39:46Z,12675,463,35,PT9M0S
pz_kuGA8Aq0,recommendation,10 BARBIE SIGNATURE PERFUMES,2023-07-29T12:00:44Z,6703,366,39,PT10M54S
5Roeyi7fbaI,recommendation,7 POPULAR PERFUMES I'D SKIP & WHAT I'D GET INSTEAD,2023-07-25T13:54:33Z,16908,576,94,PT13M54S
gkT1w_9OyiI,recommendation,TOP 13 WEDDING PERFUMES FOR ALL SEASONS,2023-07-22T11:37:18Z,11828,589,22,PT15M47S
KxwXa1pAK5c,review,"MAN RATES 10 POPULAR DESIGNER HANDBAGS | Dior, Hermes, Gucci, Bottega Veneta, Louis Vuitton...",2023-07-19T11:30:12Z,4445,167,22,PT20M32S
-17PWt4b8I8,recommendation,"TOP STRONGEST PERFUMES FOR WOMEN  | Chopard, Tom Ford, Nishane",2023-07-15T11:45:00Z,11499,436,73,PT15M39S
GctYq9JTLOI,informative,VALENTINO DONNA BORN IN ROMA EDP vs EDP Intense,2023-07-13T11:30:06Z,45651,697,52,PT8M53S
OOAY0cXqNoE,recommendation,MY HUSBAND’S 6 FAVOURITE PERFUMES RIGHT NOW,2023-07-09T14:03:03Z,30793,981,33,PT8M41S
qEFxmCcO96U,recommendation,I OWN 700 PERFUMES BUT THESE ARE 13 I’VE PUT THE BIGGEST DENT IN🫣Most empty bottles in my collection,2023-07-02T10:00:39Z,34988,1038,81,PT15M53S
A4ZWBs4HEMI,fashion,7 Days 7 Looks 7 Perfumes | SUMMER WARDROBE 2023 | Outfit Ideas 2023,2023-06-29T11:00:15Z,4762,224,22,PT8M42S
qEkQ25M3HAw,review,"MAN REACTS TO 20 MEN KILLER PERFUMES FOR WOMEN | Chanel, Dior, Byredo, Versace",2023-06-24T10:10:21Z,545671,12823,542,PT18M43S
UheYdjhkeaA,recommendation,"11 FRESH & LONG-LASTING PERFUMES FOR WOMEN | PDM, YSL, Ex Nihilo, Diptyque, Initio ect...",2023-06-17T12:00:25Z,44557,1138,61,PT16M51S
3k1QtnpZIBw,recommendation,5 DESIGNER PERFUMES EVERY WOMAN NEEDS,2023-06-15T12:00:03Z,10656,461,16,PT8M8S
dZ1-KIovBCk,recommendation,9 NICHE PERFUMES THAT ARE TOTALLY WORTH THE MONEY | best niche perfumes,2023-06-13T11:00:36Z,19096,656,43,PT15M17S
yzKIVsb0_sU,recommendation,10 DESIGNER PERFUMES I'LL REPURCHASE FOREVER,2023-06-08T11:30:19Z,34058,1136,88,PT12M21S
khVS2WEoVTs,recommendation,5 FAVOURITE PERFUME DISCOVERIES THIS YEAR 2023,2023-06-03T10:51:25Z,6952,342,24,PT8M1S
Bh9qLQLeu7k,review,"MAN REACTS TO CREED PERFUMES FOR WOMEN | Aventus For Her, Wind Flowers, Love In White etc.",2023-06-01T12:35:57Z,27291,627,61,PT15M44S
We1FDDgbcLQ,recommendation,10/10 SHOW STOPPING PERFUMES FOR WOMEN | Niche & designer,2023-05-29T12:11:15Z,18638,637,60,PT17M44S
48b7ABT2gwU,fashion,7 Days 7 Looks 7 Perfumes | SPRING/SUMMER WARDROBE 2023 | Outfit Ideas,2023-05-25T12:50:58Z,5903,317,35,PT12M10S
lTtrv8MTc-g,recommendation,TOP 10 MOST FEMININE PERFUMES FOR WOMEN 2023,2023-05-23T11:00:27Z,29583,762,46,PT14M27S
xZfpW8OgfpU,recommendation,TOP 10 SUMMER PERFUMES FOR WOMEN 2023,2023-05-19T11:47:07Z,39588,921,38,PT12M6S
C0BCGSaCk48,fun,VLOG | Royal Windsor Horse Show 2023 With Hermès Paris,2023-05-17T11:33:49Z,1171,55,5,PT8M52S
KuUAmgW8XJA,fashion,MY CHANEL BAG COLLECTION... and Perfumes I'd Pair Them With,2023-05-13T11:15:00Z,6937,196,24,PT13M54S
KWdk3jtklWk,recommendation,10 QUIET LUXURY PERFUMES | unique & splurge worthy,2023-05-11T12:00:21Z,18315,629,37,PT16M41S
bawFhgR3epY,fashion,My First Louis Vuitton Bag Unboxing | POCHETTE ACCESSOIRES,2023-05-08T10:50:23Z,34692,360,73,PT9M18S
YmmtOLYJ-Dg,review,"MAN REACTS TO ALL PARFUMS DE MARLY PERFUMES | Delina, Valaya, Oriana etc.",2023-05-05T10:35:34Z,86089,2042,179,PT19M7S
tUnH0QLu9KA,fun,"FAVOURITES: perfume, fashion, beauty",2023-05-01T13:46:13Z,3661,195,19,PT11M32S
OzsJDoxlFGo,recommendation,10 INTOXICATING PERFUMES FOR WOMEN | huge scent trail,2023-04-29T11:30:07Z,30872,846,54,PT18M11S
ezAmkIml144,review,"VERSACE CRYSTAL PERFUMES COMPARED | Crystal Noir, Yellow Diamond, Bright Crystal",2023-04-24T14:58:08Z,32495,529,54,PT11M10S
OZvTHwIpV9o,fun,HOW I AFFORD LUXURY | Monika Cioch,2023-04-20T11:30:10Z,16516,894,98,PT14M54S
Jfbs01mE_iU,recommendation,14 ALL TIME BEST EVERYDAY DESIGNER PERFUMES,2023-04-17T14:36:06Z,71767,1903,76,PT20M28S
MAIhlfv9gIc,recommendation,8 MOST WORN PERFUMES THIS SPRING,2023-04-15T11:30:06Z,10223,421,27,PT12M1S
PP9Z6zo9Qms,fun,"productive day in my life | cleaning, wardrobe switchover, clearing the inbox, walking the dog",2023-04-13T11:30:08Z,2148,100,3,PT21M18S
598_Qhw8Pic,recommendation,MY 10 SIGNATURE PERFUMES,2023-04-10T11:00:04Z,20695,806,36,PT14M36S
7FdkRbltyno,recommendation,Top 10 Sexy Perfumes 2023,2023-04-08T11:30:04Z,70120,1265,52,PT12M57S
6Q7dDNb684M,review,VERSACE CRYSTAL NOIR vs YSL LIBRE - Which One's Better | Men React In Public To Popular Perfumes,2023-04-03T11:14:46Z,46541,669,79,PT10M52S
KlryHr6jPr8,recommendation,"TOP NICHE PERFUMES FOR WOMEN 2023 | Initio, Byredo, BDK, Nishane...",2023-04-01T11:30:10Z,38931,1066,52,PT19M6S
SVyQBFcbHBI,fashion,"SPRING ZARA HAUL | denim skirt trend, swimming, at home manicure | MONIKA CIOCH VLOG",2023-03-30T11:00:21Z,2982,91,4,PT20M40S
djaR7Fp_2c4,review,BURBERRY HER ELIXIR EAU DE PARFUM REVIEW | better than Burberry Her Intense?,2023-03-27T14:22:56Z,28587,563,42,PT6M58S
ZSk2ZNSIuoE,review,MAN REACTS TO 15 SEXIEST PERFUMES FOR WOMEN,2023-03-25T13:00:32Z,577387,9912,205,PT10M2S
ElXS_RUV7Sk,recommendation,TOP 10 DATE FRAGRANCES FOR WOMEN | sexy perfumes 2023,2023-03-23T14:00:14Z,22458,397,11,PT14M15S
Z3z1jHZB9iA,fun,Self-Care Saturday + new in perfumes,2023-03-21T14:04:37Z,2500,118,8,PT9M17S
WZP29dsXPLE,recommendation,TOP 10 FRESH FRAGRANCES FOR WOMEN 2023,2023-03-19T12:16:58Z,19633,625,36,PT12M23S
Ys0mWOlZL98,recommendation,7 PERFUMES YOU NEED,2023-03-16T13:00:21Z,10729,463,30,PT9M45S
1ojGvIG626Q,review,HUSBAND RATES 13 ZARA PERFUMES FOR WOMEN | best Zara perfumes,2023-03-13T16:50:15Z,74855,1632,87,PT16M50S
gbOPGSDUD7I,recommendation,Top 11 VERSATILE EVERYDAY PERFUMES ( That You Won't Be Able To Stop Wearing ),2023-03-11T12:00:25Z,19737,791,26,PT15M13S
W9NOBuMfuFE,fashion,CHANEL BAG UNBOXING | mini bag,2023-03-09T12:30:13Z,8375,168,25,PT6M32S
Ub5S-Rui_QQ,fun,CLEAN & ORGANISE MY ENTIRE PERFUME COLLECTION WITH ME,2023-03-06T14:58:32Z,8646,335,38,PT21M36S
-yDsbw3xlog,recommendation,13 PERFUMES I'D IMMEDIATELY RUN TO REPURCHASE IF MY 600+ COLLECTION GOT STOLEN,2023-03-04T13:00:00Z,23229,749,47,PT19M1S
vsuEv6yqQPQ,fun,"VLOG | NEW BLACK OPIUM LE PARFUM, HOME DECOR UPDATE, MAKING SOURDOUGH BREAD",2023-03-02T13:00:44Z,3153,133,14,PT26M25S
McXPBlLowmc,fun,"VLOG | Hermes Belt Unboxing, New Perfume & Celebrating Doughnut Day 🍩",2023-02-27T14:17:35Z,2955,97,25,PT16M25S
bXXpkFEfmF0,recommendation,TOP 10 SUPER LONG LASTING PERFUMES FOR WOMEN,2023-02-25T12:30:16Z,47652,908,45,PT14M30S
GSj0o0G5dPE,fashion,HUSBAND RATES MY NEW SPRING OUTFITS | COS TRY ON HAUL,2023-02-23T13:00:10Z,3437,128,21,PT16M38S
egYjLhWov-Y,fun,"3 NEW PERFUMES, WINE TASTING & PICKING UP OUR NEW CAR  | Monika Cioch",2023-02-20T13:17:24Z,3711,186,19,PT25M10S
r2liQEv49Lo,recommendation,The Only 10 Spring Perfumes You Need,2023-02-18T14:28:23Z,17946,624,47,PT15M31S
8x9pwDHVDSo,fun,WHAT'S IN MY BAG 2023 | Monika Cioch,2023-02-16T13:00:11Z,6712,201,10,PT10M58S
nQVxG7xw9tY,fun,DOING WHAT I FEAR THE MOST + VALENTINE'S DAY DATE | Monika Cioch,2023-02-13T13:13:09Z,2270,101,6,PT10M50S
bhClc0tm2MU,recommendation,14 Perfumes You Have To Know About,2023-02-11T13:00:34Z,9099,409,16,PT16M23S
IazRyS1aSGA,fashion,"Best Designer Bags EVER | Bottega, Hermes, Goyard and more",2023-02-09T13:00:11Z,3619,81,9,PT16M14S
l_N1efVmLN4,recommendation,BEST CLEAN & FLORAL PERFUMES ( perfect for everyday ),2023-02-06T13:00:37Z,20450,581,31,PT13M23S
HzrKVcDOjMk,fun,"Crazy perfume lady, yep that's me",2023-02-06T11:14:28Z,10547,365,19,PT0M5S
larfaS4StpQ,recommendation,TOP 14 DESIGNER PERFUMES | BEST OF ALL TIME,2023-02-04T13:00:34Z,93423,2182,118,PT16M8S
SYKbh3zZoqg,fun,"WEEKLY VLOG Manchester, New Perfume, Luxury Shopping,  🥟 Trying Dim Sum for the first time",2023-02-02T12:30:26Z,4727,181,16,PT23M38S
BFa1O_RFkJo,fun,LUXURY WISH LIST 2023 | timeless pieces,2023-01-30T12:47:36Z,2389,105,9,PT9M39S
Efnnwf4C6v8,recommendation,I WORE OVER 100 PERFUMES LAST YEAR BUT THESE 8 GAVE ME THE MOST COMPLIMENTS,2023-01-28T13:00:07Z,10650,485,22,PT11M8S
