video_id,category,title,publishedAt,viewCount,likeCount,commentCount,durationMinutes,durationSeconds
x4CsA1TYAUE,review,MY HUSBAND RATES 10 BEST SELLING PERFUMES OF 2022,2022-12-20T13:00:52Z,80827.0,1895.0,152.0,13,50
svqmbvEsLRk,fashion,"MY MINIMALISTIC LUXURY HANDBAG COLLECTION | Chanel, Hermes, Longchamp",2022-12-18T13:00:24Z,14862.0,414.0,27.0,11,34
xCvt1VNToCA,recommendation,7 OUTRAGEOUSLY GOOD PERFUMES I have to share with you from my 600+ collection,2022-12-16T12:31:13Z,9241.0,344.0,21.0,11,1
yR3FbZI4-cQ,recommendation,MY TOP 5 PERFUME DISCOVERIES OF 2022,2022-12-14T12:59:27Z,10061.0,378.0,10.0,7,9
hxwYlXFzGJQ,fun,HERMES HAUL | PERFUME + DOG ACCESSORIES & SHOES,2022-12-13T12:30:15Z,1467.0,60.0,2.0,6,29
43KvoY0qU2E,recommendation,I'm A Perfume Addict & THERE ARE 10 PERFUMES YOU NEED TO HEAR ABOUT,2022-12-11T12:30:02Z,18391.0,527.0,47.0,15,10
BL-F6EHnDws,fashion,UNBOXING MY FIRST HERMES BIRKIN + STORYTIME,2022-12-09T13:03:38Z,17055.0,444.0,65.0,15,28
fmzM0-1cbnE,recommendation,TOP 8 NICHE WINTER PERFUMES that won't smell like everyone else's perfume,2022-12-07T15:17:51Z,11332.0,450.0,18.0,13,2
oSVZO-LmSzM,fashion,GETTING MY FIRST BIRKIN VLOG 🍊 | come to the Hermès store with me,2022-12-05T13:28:19Z,13432.0,239.0,39.0,11,56
p0De58adB5I,recommendation,14 SHOW-STOPPING PERFUMES FOR VARIOUS BUDGETS | you'll smell amazing,2022-12-03T13:15:30Z,28798.0,799.0,41.0,17,32
UcUUAZn4Xq0,fun,"DECORATE CHRISTMAS TREE WITH ME & HUGE FASHION HAUL FROM BLACK FRIDAY SALES | MAGDA BUTRYM, TOTEME",2022-12-01T14:07:44Z,2381.0,110.0,25.0,27,50
P3LwShkkntE,recommendation,9 PARTY SEASON PERFUME STAPLES that will give a stunning finishing touch to your look,2022-11-28T13:27:44Z,6751.0,297.0,20.0,15,26
g3eOqbzavFE,recommendation,11 FIRST DATE PERFUMES THAT DON'T FEEL TRY-HARD,2022-11-26T12:51:02Z,13850.0,487.0,35.0,14,3
Uck-YQHLAC8,fun,"LUXURY CANDLES, ARE THEY WORTH THE HYPE? Candle Guide",2022-11-24T13:37:53Z,18292.0,491.0,53.0,23,54
M_xgcEkGa5w,fashion,"CHANEL CLASSIC FLAP REVIEW AFTER 1 YEAR | wear & tear, how to store, regrets",2022-11-22T13:03:39Z,16797.0,220.0,22.0,17,51
dp_VfVfJMII,recommendation,I'M A PERFUME COLLECTOR AND THESE ARE THE 13 FRAGRANCES I'LL BE WEARING THIS WINTER,2022-11-18T13:38:25Z,18957.0,568.0,25.0,20,47
Jd_8Zxo2ilM,recommendation,The Only 6 Perfumes Every Woman Needs In Her Collection ( these will cover you for every situation ),2022-11-16T13:00:12Z,110403.0,1877.0,69.0,8,30
Bnpq-bgyV0I,recommendation,Perfumes I Smelled Once & Had To Get Them Straightaway | love at first sample,2022-11-12T12:00:07Z,30333.0,768.0,53.0,15,5
YAx5tkZz6bI,fun,FEW DAYS IN FLORENCE and NEW FALL WARDROBE HAUL,2022-11-09T12:03:33Z,2305.0,109.0,11.0,22,46
_XQUADkOHO0,fashion,"MY EVERYDAY JEWELLERY COLLECTION | Cartier, Mejuri, Vintage",2022-11-04T11:30:10Z,21004.0,317.0,20.0,17,11
Z97qSEWp4uo,recommendation,6 NEW ADDITIONS TO MY 600+ PERFUME COLLECTION ( these are the 6 that blew me away ),2022-11-01T12:49:22Z,5439.0,198.0,6.0,10,33
bFbBXESVbUo,recommendation,I HAVE OVER 600 PERFUMES BUT THESE ARE THE 12 I ACTUALLY WEAR,2022-10-29T14:52:38Z,113151.0,2667.0,169.0,13,41
hGCyYyMJKyk,informative,LE LABO FRAGRANCE LINE | Buying Guide,2022-10-27T12:50:28Z,58727.0,847.0,56.0,10,46
EYBGLNZWzA4,recommendation,THE ONLY 6 PERFUMES YOU NEED THIS FALL,2022-10-24T13:23:21Z,6440.0,264.0,8.0,8,47
IULUtIUcYn8,fun,VLOG: FRENCH RIVIERA TRIP + SHOPPING + MOST AMAZING TRUFFLE PASTA + NEW PERFUME LAUNCHES,2022-10-22T13:49:22Z,1748.0,80.0,17.0,15,21
KnoPzTqLn64,recommendation,I'm Shocked That These Perfumes Smell So Good  | I fell in love with these,2022-10-16T11:00:12Z,7628.0,242.0,11.0,11,57
c1niV8P-twM,recommendation,My Husband's 5 Favourite Perfumes ATM + 3 Best Beauty Products Ever,2022-10-15T12:00:19Z,13169.0,393.0,30.0,10,51
UnDROM6n-UA,recommendation,6 Perfumes I'll Never Stop Recommending (they are just that good),2022-10-01T11:00:17Z,11491.0,377.0,14.0,9,4
bjpoEDRPhcM,recommendation,TOP 7 UNIQUE EVERYDAY PERFUMES FOR WOMEN that you'll never get tired of,2022-09-28T13:00:03Z,16749.0,472.0,24.0,12,12
TstHB8D1_f4,recommendation,9 Incredibly Comforting & Relaxing Perfumes That Will Make You Feel Zen,2022-09-24T12:16:27Z,8963.0,336.0,13.0,11,59
